q45_clé,"SH1 Individus, marchés et organisations","SH2 Institutions, gouvernance et systèmes juridiques",SH3 Le monde social et ses interactions,SH5 Textes et concepts,SH6 L'étude du passé humain,"SH7 Mobilité humaine, environnement et espace",SH8 Études des cultures et des arts,PE7 Ingénierie des systèmes et de la communication,PE8 Ingénierie des produits et des procédés,PE9 Sciences de l'Univers,PE10 Sciences du Système Terre,"LS4 Physiologie de la santé, de la maladie et du vieillissement","LS6 Immunité, infection et immunothérapie","LS7 Prévention, diagnostic et traitement des maladies humaines","LS8 Biologie environnementale, écologie et évolution",LS9 Biotechnologie et ingénierie des biosystèmes,SH4 L'esprit humain et sa complexité,LS5 Neurosciences et troubles du système nerveux,PE6 Sciences informatiques et informatique,PE1 Mathématiques,PE5 Chimie de synthèse et matériaux,"Droit, économie et sciences politiques",Sciences sociales,Humanités,Maths info,Ecologie et biosystèmes,"Biologie, maladie","Psychologie, neurosciences",Chimie de synthèse,Sciences sociales et humaines,Sciences physiques et ingénierie,Sciences de la vie,q11_quali_or_quanti,SHS,cluster,lab_cluster,new_clust,semi_cluster,semi_lab_cluster
PSFJ-S7YE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Des données qualitatives,True,12,,12.0,14,Humanités numériques
S3JS-37LL,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Des données quantitatives,True,5,Le monde social et ses interactions,5.0,5,Le monde social et ses interactions
35EN-C9DW,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Des données quantitatives,True,3,Psychologie (sociale),3.0,2,Sciences cognitives
XGV3-TLNC,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Des données qualitatives,True,10,Ethnologie,10.0,13,Langues et litteratures
ET2V-ZA9Z,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Les deux,True,3,Psychologie (sociale),3.0,2,Sciences cognitives
ANM4-SD9B,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Les deux,True,-1,Outliers,-1.0,13,Le monde social et ses interactions
A33H-5ZS7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Des données quantitatives,True,3,Psychologie (sociale),3.0,2,Sciences cognitives
4VJV-R74Q,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Des données qualitatives,True,10,Ethnologie,10.0,13,Langues et litteratures
44RN-J48S,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Des données qualitatives,True,-1,Outliers,-1.0,8,Le monde social et ses interactions
RAUZ-BRFQ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Des données quantitatives,True,4,,-1.0,4,
